date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:20	94861/94861	---M-Z	200	added ('OK')	text/html	etag:%221728d-5d5a080351780-gzip%22	https://koki.dexignzone.com/xhtml/index.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/index.html	(from )
16:58:20	237/237	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Apr%202023%2014:58:21%20GMT	https://koki.dexignzone.com/robots.txt		(from )
16:58:21	3044/3044	---M--	200	added ('OK')	image/png	etag:%22be4-5b218ed322900%22	https://koki.dexignzone.com/xhtml/images/favicon.png	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/images/favicon.png	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:21	81433/81433	---M--	200	added ('OK')	image/png	etag:%2213e19-5d56663b8f700%22	https://koki.dexignzone.com/xhtml/social-image.png	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/social-image.png	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:21	10722/10722	---M--	200	added ('OK')	text/css	etag:%2229e2-58dde99508380%22	https://koki.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:22	22357/22357	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d52a9-5755%22	https://cdn.lineicons.com/2.0/LineIcons.css	C:/Users/arti_/Downloads/AdminDashboard/cdn.lineicons.com/2.0/LineIcons.css	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:22	970/970	---M--	200	added ('OK')	image/png	etag:%223ca-5b1a2b2321c00%22	https://koki.dexignzone.com/xhtml/images/logo.png	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/images/logo.png	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:22	1003/1003	---M--	200	added ('OK')	image/png	etag:%223eb-5b1a2b54b9100%22	https://koki.dexignzone.com/xhtml/images/logo-text.png	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/images/logo-text.png	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:22	1045675/1045675	---M--	200	added ('OK')	text/css	etag:%22ff4ab-5d5a2716de900%22	https://koki.dexignzone.com/xhtml/css/style.css	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/css/style.css	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:22	6991/6991	---M--	200	added ('OK')	image/jpeg	etag:%221b4f-5b83b7e791900%22	https://koki.dexignzone.com/xhtml/images/avatar/1.jpg	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/images/avatar/1.jpg	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:23	10188/10188	---M--	200	added ('OK')	image/jpeg	etag:%2227cc-5b83b7e791900%22	https://koki.dexignzone.com/xhtml/images/avatar/2.jpg	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/images/avatar/2.jpg	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:23	9609/9609	---M--	200	added ('OK')	image/jpeg	etag:%222589-5b83b7e791900%22	https://koki.dexignzone.com/xhtml/images/avatar/3.jpg	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/images/avatar/3.jpg	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:23	8706/8706	---M--	200	added ('OK')	image/jpeg	etag:%222202-5b83b7e791900%22	https://koki.dexignzone.com/xhtml/images/avatar/4.jpg	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/images/avatar/4.jpg	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:23	11073/11073	---M--	200	added ('OK')	image/jpeg	etag:%222b41-5b83b7e791900%22	https://koki.dexignzone.com/xhtml/images/avatar/5.jpg	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/images/avatar/5.jpg	(from https://koki.dexignzone.com/xhtml/index.html)
